ON_STREET,AT_STREET,FATAL,ACC_DATE,ACC_TIME,ACC_TYPE
500 BLOCK,FINLAYSON,,2011/09/03,1030,Right Turn Across Path
FINLAYSON,NANAIMO,,2008/05/07,1134,Right Turn - Traffic On Right
FISGARD,GOVERNMENT,,2009/12/12,1654,Overtaking
STORE,FISGARD,,2008/09/12,0955,Left Turn - Traffic On Right
RYAN,FORBES,,2012/07/07,1015,Right Angle
1900 BLOCK,FORT,,2008/06/25,2030,Right Turn - Traffic On Left
1900 BLOCK,FORT,,2009/07/23,1738,Right Turn Across Path
900 BLOCK,FORT,,2010/06/22,1325,Overtaking
900 BLOCK,FORT,,2011/07/22,1525,Rear End
1600 BLOCK,FORT,,2009/06/25,1704,Overtaking
1600 BLOCK,FORT,,2012/06/19,1718,Overtaking
1600 BLOCK,FORT,,2012/07/23,1457,Rear End
1000 BLOCK,FORT,,2009/06/08,1058,Changing Lanes
1900 BLOCK,FORT,,2009/04/02,1202,Overtaking
1900 BLOCK,FORT,,2010/05/21,1451,Overtaking
1700 BLOCK,FORT,,2011/10/19,1413,Overtaking
1800 BLOCK,FORT,,2010/08/26,0939,Overtaking
1800 BLOCK,FORT,,2008/09/05,0922,Rear End
1800 BLOCK,FORT,,2008/09/09,0838,Right Turn Across Path
FORT,LEE,,2011/03/21,1000,Overtaking
FORT,RICHMOND,,2008/12/02,0818,Left Turn Opposing
FORT,WHARF,,2010/05/08,1129,Left Turn Opposing
LEIGHTON,FOUL BAY,,2010/05/16,1133,Overtaking
GARBALLY,GORGE,,2009/09/24,1136,Right Angle
1200 BLOCK,GLADSTONE,,2011/02/09,0910,Overtaking
600 BLOCK,GORGE,,2008/04/03,0802,Overtaking
600 BLOCK,GORGE,,2012/09/06,0741,Right Angle
400 BLOCK,GORGE,,2011/08/03,0845,Side Swipe
10 BLOCK,GORGE,,2009/04/11,1510,Overtaking
GORGE,JUTLAND,,2008/10/06,2120,Right Turn Across Path
GORGE,ROCK BAY,,2011/07/05,1600,Right Angle
GORGE,WASHINGTON,,2009/05/28,0648,Left Turn - Traffic On Left
2000 BLOCK,GOVERNMENT,,2011/06/21,1507,Head On
2000 BLOCK,GOVERNMENT,,2011/06/21,1507,Head On
1900 BLOCK,GOVERNMENT,,2012/07/13,1041,Overtaking
2500 BLOCK,GOVERNMENT,,2011/03/10,1502,Overtaking
2100 BLOCK,GOVERNMENT,,2008/07/04,1327,Overtaking
1400 BLOCK,GOVERNMENT,,2009/04/25,1620,Overtaking
700 BLOCK,GOVERNMENT,,2009/06/07,2059,Overtaking
400 BLOCK,GOVERNMENT,,2008/01/31,1102,Overtaking
GOVERNMENT,HERALD,,2010/05/17,1537,Left Turn Opposing
GOVERNMENT,JOHNSON,,2010/11/19,1200,Left Turn Opposing
GOVERNMENT,PRINCESS,,2012/07/28,0955,Right Angle
GOVERNMENT,TORONTO,,2010/04/07,1440,Right Angle
300 BLOCK,HARBOUR,,2010/03/05,1248,Overtaking
2900 BLOCK,HARRIET,,2011/05/26,1456,Right Angle
HARRIET,OBED,,2009/06/27,1208,Right Angle
RICHMOND,HAULTAIN,,2010/05/14,1830,Right Angle
HILLSIDE,WARK,,2008/07/28,0800,Left Turn Opposing
700 BLOCK,HUMBOLDT,,2011/01/10,1013,Right Turn - Traffic On Left
400 BLOCK,JOHNSON,,2008/06/30,1604,Right Angle
800 BLOCK,JOHNSON,,2010/05/11,1750,Side Swipe
900 BLOCK,JOHNSON,,2009/05/26,1350,Changing Lanes
JOHNSON,QUADRA,,2009/06/13,0935,Right Angle
STORE,JOHNSON,,2011/10/07,0817,Rear End
WHARF,JOHNSON,,2012/08/29,1634,Overtaking
JOHNSON,WHARF,,2011/05/10,1635,Rear End
100 BLOCK,JOSEPH,,2009/03/11,1857,Right Angle
2900 BLOCK,JUTLAND,,2009/08/25,0804,Rear End
0 BLOCK,KIMTA,,2012/09/27,1312,Overtaking
200 BLOCK,KIMTA,,2011/07/03,1131,Rear End
900 BLOCK,KINGS,,2011/04/27,1110,Overtaking
LINDEN,RICHARDSON,,2010/10/11,1902,Left Turn - Traffic On Left
MARKET,NANAIMO,,2010/06/15,1235,Right Angle
RAYNOR,MARY,,2008/07/03,1400,Right Angle
VANCOUVER,MASON,,2008/09/19,0805,Left Turn - Traffic On Left
QUADRA,MEARES,,2011/02/15,2200,Right Turn - Traffic On Left
MYRTLE,SHELBOURNE,,2011/09/17,2309,Left Turn Opposing
SHELBOURNE,MYRTLE,,2012/10/15,0726,Right Angle
1600 BLOCK,NORTH DAIRY,,2009/11/25,1711,Right Turn - Traffic On Left
1600 BLOCK,NORTH DAIRY,,2011/11/28,1118,Right Turn - Traffic On Left
1500 BLOCK,NORTH DAIRY,,2010/05/02,1513,Right Turn - Traffic On Left
NORTH PARK,QUADRA,,2009/11/06,1610,Right Angle
1900 BLOCK,OAK BAY,,2009/07/28,1812,Overtaking
1600 BLOCK,OAK BAY,,2008/07/16,0846,Left Turn - Traffic On Right
OAK BAY,ROCKLAND,,2012/07/25,1200,Left Turn Opposing
OSWEGO,SIMCOE,,2009/06/20,1738,Left Turn Opposing
900 BLOCK,PANDORA,,2011/10/11,0901,Overtaking
1000 BLOCK,PANDORA,,2008/04/08,1605,Right Angle
PANDORA,QUADRA,,2008/05/09,0800,Right Angle
PANDORA,QUADRA,,2010/03/30,0644,Right Turn - Traffic On Left
STORE,PANDORA,,2012/08/27,1830,Overtaking
PANDORA,VANCOUVER,,2008/01/15,1927,Right Turn - Traffic On Left
PEARL,SHELBOURNE,,2012/03/24,1546,Right Turn - Traffic On Right
PEMBROKE,QUADRA,,2009/12/04,1924,Left Turn - Traffic On Left
SHAKESPEARE,PEMBROKE,,2011/12/05,0915,Overtaking
2300 BLOCK,QUADRA,,2009/08/28,,Right Angle
2600 BLOCK,QUADRA,,2008/05/15,2021,Overtaking
2600 BLOCK,QUADRA,,2010/08/17,1157,Side Swipe
1900 BLOCK,QUADRA,,2009/08/03,,Rear End
1600 BLOCK,QUADRA,,2008/03/31,1855,Left Turn Opposing
1200 BLOCK,QUADRA,,2008/12/10,1300,Overtaking
700 BLOCK,QUADRA,,2012/10/23,0826,Right Turn - Traffic On Left
QUEENS,QUADRA,,2010/05/03,1405,Right Angle
QUADRA,ROCKLAND,,2011/07/06,1500,Left Turn Opposing
QUADRA,TOPAZ,,2008/06/02,1556,Head On
VIEW,QUADRA,,2012/06/18,1749,Left Turn - Traffic On Left
QUADRA,YATES,,2008/06/22,1557,Right Angle
QUEBEC,MONTREAL,,2010/06/27,1435,Overtaking
1400 BLOCK,RICHARDSON,,2009/05/25,0824,Rear End
RICHARDSON,RICHMOND,,2012/05/22,1619,Right Angle
RICHMOND,RICHARDSON,,2012/02/17,1631,Right Angle
1100 BLOCK,ROCKLAND,,2011/09/29,1257,Rear End
3100 BLOCK,SHELBOURNE,,2009/11/09,1539,Right Turn - Traffic On Right
3100 BLOCK,SHELBOURNE,,2008/03/24,1610,Right Turn - Traffic On Right
3100 BLOCK,SHELBOURNE,,2008/05/25,1050,Overtaking
1800 BLOCK,STORE,,2012/09/17,1106,Overtaking
600 BLOCK,TYEE,,2008/07/31,1315,Overtaking
1700 BLOCK,VANCOUVER,,2010/12/07,1731,Rear End
1200 BLOCK,VANCOUVER,,2012/07/26,1654,Overtaking
700 BLOCK,VANCOUVER,,2008/01/22,1156,Overtaking
VANCOUVER,YATES,,2010/01/08,1835,Right Angle
VANCOUVER,YATES,,2009/11/14,1755,Left Turn - Traffic On Right
900 BLOCK,VIEW,,2009/04/27,1830,Changing Lanes
800 BLOCK,VIEW,,2011/04/11,0756,Left Turn Opposing
WHARF,YATES,,2008/11/17,0833,Right Turn - Traffic On Left
WHARF,YATES,,2011/07/27,1614,Overtaking
1200 BLOCK,YATES,,2010/07/07,1052,Overtaking
700 BLOCK,YATES,,2011/06/16,1203,Rear End
